Sistemas = 000020000
Spikes 	 Durations 
3.0 	3.0 
6.0 	6.0 
10.0 	9.0 
21.0 	16.0 
40.0 	15.0 
4.0 	4.0 
2.0 	2.0 
1.0 	1.0 
2.0 	2.0 
8.0 	8.0 
2.0 	2.0 
2.0 	2.0 
38.0 	13.0 
6.0 	6.0 
6.0 	6.0 
144.0 	54.0 
2.0 	2.0 
25.0 	15.0 
17.0 	12.0 
210.0 	69.0 
1.0 	1.0 
2.0 	2.0 
1.0 	1.0 
4.0 	4.0 
1.0 	1.0 
2.0 	2.0 
198.0 	36.0 
1.0 	1.0 
17.0 	10.0 
4.0 	2.0 
1.0 	1.0 
24.0 	13.0 
1.0 	1.0 
23.0 	10.0 
1.0 	1.0 
2.0 	2.0 
17.0 	17.0 
3.0 	2.0 
7.0 	5.0 
4.0 	2.0 
9.0 	6.0 
11.0 	9.0 
2.0 	2.0 
1.0 	1.0 
23.0 	14.0 
1.0 	1.0 
4.0 	4.0 
23.0 	11.0 
2.0 	2.0 
3.0 	3.0 
1.0 	1.0 
81.0 	34.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
2.0 	2.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
6.0 	4.0 
2.0 	2.0 
1.0 	1.0 
673.0 	137.0 
1.0 	1.0 
2.0 	2.0 
1.0 	1.0 
9.0 	4.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
1.0 	1.0 
6.0 	4.0 
712.0 	175.0 
83.0 	27.0 
1343.0 	332.0 
2.0 	2.0 
4.0 	3.0 
2.0 	2.0 
144.0 	42.0 
1.0 	1.0 
9.0 	7.0 
5.0 	5.0 
1.0 	1.0 
1.0 	1.0 
2.0 	2.0 
14.0 	6.0 
1.0 	1.0 
145.0 	86.0 
3.0 	2.0 
199.0 	59.0 
2.0 	2.0 
12.0 	6.0 
4.0 	4.0 
9.0 	7.0 
5.0 	5.0 
10.0 	7.0 
1.0 	1.0 
1.0 	1.0 
17.0 	12.0 
4.0 	2.0 
1.0 	1.0 
2.0 	2.0 
3.0 	2.0 
1.0 	1.0 
38.0 	10.0 
4.0 	4.0 
1.0 	1.0 
2.0 	2.0 
2.0 	2.0 
1.0 	1.0 
3.0 	3.0 
74.0 	26.0 
13.0 	9.0 
3.0 	3.0 
5.0 	5.0 
2.0 	2.0 
1.0 	1.0 
49.0 	35.0 
81.0 	19.0 
