Sistemas = 000000043
Spikes 	 Durations 
6.0 	4.0 
2456922427.0 	1000000.0 
2456601646.0 	1000000.0 
135.0 	30.0 
31.0 	9.0 
2456866459.0 	1000000.0 
2457155477.0 	1000000.0 
37.0 	14.0 
1.0 	1.0 
2456695944.0 	1000000.0 
2456928350.0 	1000000.0 
6.0 	4.0 
323.0 	43.0 
10.0 	5.0 
2.0 	2.0 
19.0 	7.0 
2456823269.0 	1000000.0 
2.0 	2.0 
1.0 	1.0 
3.0 	3.0 
12.0 	9.0 
1.0 	1.0 
2456464000.0 	1000000.0 
2.0 	2.0 
2.0 	2.0 
1.0 	1.0 
3.0 	3.0 
1.0 	1.0 
2457122648.0 	1000000.0 
6.0 	4.0 
1.0 	1.0 
2.0 	2.0 
11.0 	7.0 
2456379507.0 	1000000.0 
35.0 	12.0 
1.0 	1.0 
2456447555.0 	1000000.0 
2457155054.0 	1000000.0 
2.0 	2.0 
6.0 	4.0 
162.0 	18.0 
1.0 	1.0 
2456272365.0 	1000000.0 
